iter	Passed	Remaining
747	1067	359
748	1068	358
749	1070	356
750	1071	355
751	1072	353
752	1073	352
753	1074	350
754	1075	349
755	1076	347
756	1077	346
757	1079	344
758	1080	343
759	1082	341
760	1083	340
761	1084	338
762	1085	337
763	1086	335
764	1087	334
765	1089	332
766	1090	331
767	1091	329
768	1092	328
769	1093	326
770	1094	325
771	1095	323
772	1097	322
773	1098	320
774	1099	319
775	1100	317
776	1101	316
777	1103	314
778	1104	313
779	1105	311
780	1106	310
781	1107	308
782	1109	307
783	1110	305
784	1111	304
785	1112	302
786	1113	301
787	1115	300
788	1116	298
789	1117	297
790	1118	295
791	1119	294
792	1120	292
793	1122	291
794	1123	289
795	1124	288
796	1125	286
797	1127	285
798	1128	283
799	1129	282
800	1130	280
801	1131	279
802	1132	277
803	1133	276
804	1134	274
805	1136	273
806	1137	271
807	1138	270
808	1139	269
809	1140	267
810	1141	266
811	1142	264
812	1143	263
813	1145	261
814	1146	260
815	1147	258
816	1148	257
817	1149	255
818	1150	254
819	1151	252
820	1153	251
821	1154	249
822	1155	248
823	1156	247
824	1158	245
825	1159	244
826	1160	242
827	1161	241
828	1162	239
829	1164	238
830	1165	236
831	1166	235
832	1167	234
833	1169	232
834	1170	231
835	1171	229
836	1172	228
837	1174	226
838	1175	225
839	1176	224
840	1177	222
841	1179	221
842	1180	219
843	1181	218
844	1182	216
845	1184	215
846	1185	214
847	1186	212
848	1187	211
849	1188	209
850	1190	208
851	1191	206
852	1192	205
853	1193	204
854	1195	202
855	1196	201
856	1197	199
857	1199	198
858	1200	197
859	1201	195
860	1202	194
861	1203	192
862	1205	191
863	1206	189
864	1207	188
865	1209	187
866	1210	185
867	1211	184
868	1212	182
869	1214	181
870	1215	180
871	1216	178
872	1217	177
873	1219	175
874	1220	174
875	1221	172
876	1223	171
877	1224	170
878	1225	168
879	1226	167
880	1228	165
881	1229	164
882	1230	163
883	1231	161
884	1233	160
885	1234	158
886	1236	157
887	1237	156
888	1239	154
889	1241	153
890	1242	152
891	1245	150
892	1246	149
893	1247	147
894	1248	146
895	1250	145
896	1251	143
897	1252	142
898	1254	140
899	1255	139
900	1256	138
901	1257	136
902	1259	135
903	1260	133
904	1261	132
905	1262	131
906	1264	129
907	1265	128
908	1266	126
909	1267	125
910	1269	123
911	1270	122
912	1271	121
913	1272	119
914	1273	118
915	1275	116
916	1276	115
917	1277	114
918	1279	112
919	1280	111
920	1281	109
921	1282	108
922	1283	107
923	1285	105
924	1286	104
925	1287	102
926	1288	101
927	1290	100
928	1291	98
929	1292	97
930	1293	95
931	1295	94
932	1296	93
933	1297	91
934	1298	90
935	1299	88
936	1300	87
937	1301	86
938	1303	84
939	1304	83
940	1305	81
941	1306	80
942	1308	79
943	1309	77
944	1310	76
945	1311	74
946	1312	73
947	1313	72
948	1314	70
949	1316	69
950	1317	67
951	1318	66
952	1319	65
953	1320	63
954	1322	62
955	1323	60
956	1324	59
957	1325	58
958	1326	56
959	1327	55
960	1328	53
961	1330	52
962	1331	51
963	1332	49
964	1333	48
965	1334	46
966	1335	45
967	1337	44
968	1338	42
969	1339	41
970	1340	40
971	1341	38
972	1342	37
973	1343	35
974	1345	34
975	1346	33
976	1347	31
977	1348	30
978	1349	28
979	1350	27
980	1352	26
981	1353	24
982	1354	23
983	1355	22
984	1356	20
985	1357	19
986	1358	17
987	1359	16
988	1361	15
989	1362	13
990	1363	12
991	1364	11
992	1365	9
993	1366	8
994	1367	6
995	1368	5
996	1369	4
997	1371	2
998	1372	1
999	1373	0
